File Size (KB),Load Time (ns)
86.17578125,12704865
86.17578125,12792962
86.17578125,12893060
86.17578125,12937995
86.17578125,12971781
86.17578125,13066764
86.17578125,13167071
86.17578125,13307912
86.17578125,13511272
86.17578125,15288731
947.50390625,91165453
947.50390625,91548435
947.50390625,92216631
947.50390625,92634035
947.50390625,92652501
947.50390625,92936317
947.50390625,93404094
947.50390625,93492524
947.50390625,93640180
947.50390625,106561597
1808.83203125,161128666
1808.83203125,161741184
1808.83203125,161788059
1808.83203125,162273675
1808.83203125,162289564
1808.83203125,162364895
1808.83203125,162398141
1808.83203125,162452368
1808.83203125,163108366
1808.83203125,163342681
2670.16015625,230722091
2670.16015625,232324587
2670.16015625,232460892
2670.16015625,232676774
2670.16015625,232940484
2670.16015625,233063184
2670.16015625,233136236
2670.16015625,233391319
2670.16015625,233683581
2670.16015625,234225108
3531.48828125,300500753
3531.48828125,300528300
3531.48828125,300879576
3531.48828125,301062052
3531.48828125,301223971
3531.48828125,301391464
3531.48828125,301602457
3531.48828125,301678258
3531.48828125,301778324
3531.48828125,302033774
4392.81640625,370938691
4392.81640625,371033407
4392.81640625,371804024
4392.81640625,371832898
4392.81640625,372058963
4392.81640625,372246091
4392.81640625,372592269
4392.81640625,372616401
4392.81640625,372687676
4392.81640625,374206432
5254.14453125,440282230
5254.14453125,440503326
5254.14453125,441478802
5254.14453125,441502745
5254.14453125,441600583
5254.14453125,442106943
5254.14453125,442247212
5254.14453125,442312580
5254.14453125,443035381
5254.14453125,443123002
6115.47265625,509735389
6115.47265625,509832176
6115.47265625,509918285
6115.47265625,510824239
6115.47265625,511117000
6115.47265625,511452420
6115.47265625,512128681
6115.47265625,512320170
6115.47265625,512348114
6115.47265625,514147695
6976.80078125,579948408
6976.80078125,580469673
6976.80078125,581369409
6976.80078125,581594733
6976.80078125,581699197
6976.80078125,581717237
6976.80078125,582022692
6976.80078125,582056736
6976.80078125,582304736
6976.80078125,583576955
7838.12890625,648261545
7838.12890625,648372109
7838.12890625,648782268
7838.12890625,649185408
7838.12890625,649601478
7838.12890625,649756282
7838.12890625,650527067
7838.12890625,650569835
7838.12890625,652131689
7838.12890625,652531519
8699.45703125,702550502
8699.45703125,706394245
8699.45703125,710597483
8699.45703125,714094431
8699.45703125,716023721
8699.45703125,716375525
8699.45703125,717058167
8699.45703125,718563864
8699.45703125,719170698
8699.45703125,750518388
9560.78515625,785548565
9560.78515625,788607762
9560.78515625,789049910
9560.78515625,789472750
9560.78515625,795701245
9560.78515625,802442623
9560.78515625,802753651
9560.78515625,814858265
9560.78515625,819332482
9560.78515625,840042521
10422.11328125,855089451
10422.11328125,855912942
10422.11328125,855970834
10422.11328125,857222689
10422.11328125,857254104
10422.11328125,857654994
10422.11328125,857996089
10422.11328125,858407680
10422.11328125,858510847
10422.11328125,863546289
11283.44140625,921537795
11283.44140625,923334100
11283.44140625,924088324
11283.44140625,924735652
11283.44140625,925550519
11283.44140625,925571713
11283.44140625,926326025
11283.44140625,926428038
11283.44140625,927214885
11283.44140625,927520026
12144.76953125,989104734
12144.76953125,993236992
12144.76953125,993680514
12144.76953125,993717196
12144.76953125,994436530
12144.76953125,994797848
12144.76953125,995237605
12144.76953125,995665865
12144.76953125,996463528
12144.76953125,998280604
13006.09765625,1068400723
13006.09765625,1069679169
13006.09765625,1072455932
13006.09765625,1073677516
13006.09765625,1073705864
13006.09765625,1074819913
13006.09765625,1076989210
13006.09765625,1079805943
13006.09765625,1079991287
13006.09765625,1090482797
